,latitude,longitude,free_bikes
0,51.343658,12.378786,32
1,51.37549,12.378652,4
2,51.353337,12.303199,1
3,51.35002,12.291401,3
4,51.326737,12.358117,0
5,51.344577,12.379628,4
6,51.345639,12.379167,4
7,51.368291,12.386329,5
8,51.331342,12.358439,0
9,51.320595,12.385991,0
10,51.351415,12.432007,11
11,51.383607,12.379763,8
12,51.384759,12.376131,7
13,51.382837,12.377086,4
14,51.385067,12.378051,6
15,51.343813,12.381495,12
16,51.322889,12.28723,0
17,51.351505,12.407074,1
18,51.342214,12.359287,3
19,51.336155,12.37502,2
20,51.347388,12.353402,1
21,51.34326,12.372462,0
22,51.339064,12.380031,1
23,51.345217,12.392192,5
24,51.331718,12.405657,2
25,51.31451,12.410012,0
26,51.32203,12.373781,1
27,51.330471,12.374876,1
28,51.326107,12.388651,3
29,51.310369,12.372912,3
30,51.367775,12.366829,4
31,51.345548,12.406418,2
32,51.345461,12.414701,0
33,51.324316,12.412888,2
34,51.348581,12.371871,4
35,51.352531,12.373492,0
36,51.363116,12.362178,0
37,51.356407,12.415967,12
38,51.344905,12.419175,1
39,51.318674,12.34101,0
40,51.324065,12.344003,0
41,51.341189,12.324257,4
42,51.337814,12.340361,2
43,51.332164,12.362441,3
44,51.329475,12.336901,0
45,51.33147,12.333789,0
46,51.332465,12.338639,1
47,51.337362,12.334068,0
48,51.340512,12.368841,4
49,51.338729,12.362505,1
50,51.340884,12.375187,1
51,51.320511,12.383013,0
52,51.362982,12.373561,1
53,51.33892,12.402824,5
54,51.335619,12.407663,0
55,51.359442,12.292821,8
56,51.32793,12.319933,2
57,51.325815,12.314928,0
58,51.295085,12.386184,0
59,51.30605,12.396687,0
60,51.332308,12.395432,1
61,51.335029,12.388759,2
62,51.346001,12.398635,1
63,51.348168,12.405973,0
64,51.31401,12.342668,0
65,51.327799,12.345666,1
66,51.347374,12.314665,2
67,51.33048,12.3797,1
68,51.32466,12.3733,4
69,51.32059,12.37861,1
70,51.31769,12.36867,1
71,51.31168,12.37235,2
72,51.36638,12.36625,0
73,51.32904,12.32808,5
74,51.33665,12.37481,5
75,51.323876,12.321425,0
76,51.300885,12.396634,1
77,51.344114,12.383013,6
