,Name,Rating,Latitude,Longitude,Distance,Popularity
0,Imperii,5.0,51.3422221156623,12.3795628986725,318.87470834007064,
1,Auerbachs Keller,4.0,51.3396305634424,12.3754316098785,725.1554682192617,
2,Augustiner am Markt,4.5,51.341247,12.374682,660.6678770403516,
3,Restaurant Steaktrain,4.0,51.343344,12.3784542,328.0143718048536,
4,Ratskeller Leipzig,4.0,51.3368454,12.3726747,1081.1741488789223,
5,Romanushof,4.0,51.3428473,12.3749424,577.9911396982211,
6,KIRIGAMI Ramen,4.5,51.34346,12.39024,507.77947985445263,
7,Kildare City Pub,4.5,51.3409,12.3743,702.8417887702753,
8,Handbrotzeit,4.5,51.34133,12.37828,451.5612241181136,
9,Yaki Gourmet,3.5,51.34342,12.382782,79.60293732781584,
10,Pentahotel Restaurant,4.5,51.3411,12.3866,417.60669089116806,
11,Chinas Welt,4.0,51.34586,12.38964,482.5493261572726,
12,Mythos,5.0,51.34637,12.37418,700.4890231660468,
13,Rizzi,4.0,51.3411789,12.3753796,618.9780165905936,
14,Masala,3.5,51.34399,12.38193,120.16732991675258,
15,Soup & Nem,4.0,51.3417,12.378,439.6503786920735,
16,Morrison's Traditional Irish Pub,4.0,51.34178,12.37978,343.1942118128106,
17,Phô Viêt,4.0,51.3422399,12.37485,608.0615776139095,
18,Indian Crown,4.5,51.34205,12.3764299,516.5267490410619,
19,Dhillons,3.5,51.34192,12.37723,495.5960184020029,
20,Aurelia,4.5,51.3479019473153,12.3714617575977,906.1253742820973,
21,Wurstmeister,3.5,51.3439822661999,12.3773687174798,392.3084861705565,
22,Reinhardts im Gasthaus Alte Nikolaischule,4.5,51.3407399,12.37833,490.81027117201774,
23,Max Enk,5.0,51.33824,12.37715,769.720622132398,
24,Restaurant Brühl,4.5,51.348,12.3762,640.7976152245907,
25,Café Madrid,4.0,51.3402002581908,12.3729103334045,825.7197844976105,
26,Falco,4.5,51.34689,12.376,566.0681693993134,
27,Hans im Glück,4.0,51.3385015820573,12.379896,660.5620754930588,
28,Valentino,4.0,51.343545,12.372761,714.8818651478055,
29,Andria,3.5,51.34178,12.37826,419.9352334150458,
30,Brasserie Le Grand,4.5,51.3404,12.3759,643.9352103252323,
31,Pizzeria by Toni,5.0,51.3432,12.3786,322.9262253022724,
32,Zunftkeller,3.5,51.339,12.39179,827.9484473129153,
33,Miss Hanoi,4.5,51.3379,12.3851,706.0079325094638,
34,asia hung,4.0,51.3445,12.3801,206.8295964270933,
35,Opern Cafe,5.0,51.34,12.3807,484.84783649221663,
36,Telegraph Café Restaurant,4.0,51.34118,12.37171,853.8364668762325,
37,Nordsee,3.5,51.3434,12.3828,80.75975463791664,
38,Burgermeister,4.0,51.34337,12.37681,577.870557217621,
39,Curry & Co.,4.5,51.3430937,12.373368,679.4579936089694,
40,Gourmetrestaurant Villers,5.0,51.3445993712519,12.3722460659353,749.7788800574704,
41,Fair Play,4.0,51.3422203,12.3835697,169.80109748778574,
42,Il Corso,4.5,51.3378666,12.3731729,974.557957800349,
43,Iberica Weindepot & Tappas,5.0,51.3408730780886,12.3792969090227,443.276117077049,
44,Thai-chi-viet,3.5,51.3454,12.3819,162.55454752559476,
45,Hoshi,4.5,51.33783,12.3725,1004.20270254682,
46,Milchbar Pinguin,4.0,51.341564095845,12.375283241272,607.169111684233,
47,Indian Palace,4.0,51.3412519089689,12.37787754104,478.0384074129834,
48,Lukas Bäckerei,4.0,51.3431003164726,12.3747632043834,583.9924800692925,
49,Dunkelrestaurant Mondschein,4.5,51.3453,12.3714,817.3023061998368,
1,VICTOR’S Restaurant,,51.343612,12.383827,74.0,0.8637453105460609
2,Campus Suite,,51.344414,12.382132,82.0,0.5806586077532305
3,Falafel Ali,,51.344787,12.382353,91.0,0.1802313463943309
4,Bagel Brothers,,51.342987,12.378552,358.0,0.9829616506877866
5,Asiahung,,51.345062,12.381161,171.0,0.9914547728220092
6,Masala - Indian Food,,51.344906,12.381124,149.0,0.9824927052938724
7,"Pizza Hut Leipzig, HBF",,51.344384,12.380967,133.0,0.9936952897040432
8,KFC,,51.343999,12.371813,203.0,0.3765631513130471
9,Planerts,,51.341762,12.37932,352.0,0.5660691954981242
10,Ciao Bella,,51.344932,12.381314,148.0,0.3496248436848687
11,Burger King,,51.344391,12.381068,139.0,0.9873905794080868
12,Takumi Leipzig,,51.343663,12.38514,161.0,0.9608691121300542
