,free_bikes,station_name,latitude,longitude
0,10,VELO-CITY / Hauptbahnhof/LVB-Mobilitätszentrale,51.343658,12.378786
1,0,Virchowstr. (LVB Mobilitätsstation 23),51.37549,12.378652
2,1,S-Bhf. Leutzsch,51.353337,12.303199
3,8,Siemens AG,51.35002,12.291401
4,0,Galopprennbahn (Vorplatz/Zufahrtsstraße),51.326737,12.358117
5,0,VELO-CITY / Hauptbahnhof/Westhalle (LVB Mobilitätsstation 4),51.344577,12.379628
6,0,VELO-CITY / Hauptbahnhof/Westseite,51.345639,12.379167
7,1,Eutritzscher Markt (LVB Mobilitätsstation 19),51.368291,12.386329
8,0,Musikpavillon,51.331342,12.358439
9,0,VELO-CITY / S-Bhf. MDR,51.320595,12.385991
10,1,UFZ Leipzig/Permoserstr.,51.351415,12.432007
11,1,Klinikum St. Georg Haus 17,51.383607,12.379763
12,4,Klinikum St. Georg Haus 11,51.384759,12.376131
13,0,Klinikum St. Georg Haus 20,51.382837,12.377086
14,11,Klinikum St. Georg Haus 14,51.385067,12.378051
15,14,VELO-CITY / Hauptbahnhof/Osthalle,51.343813,12.381495
16,0,Schönauer Str./Lützner Str. (LVB Mobilitätsstation 25),51.322889,12.28723
17,0,Stannebeinplatz (LVB Mobilitätsstation 18),51.351505,12.407074
18,1,VELO-CITY / Waldplatz,51.342214,12.359287
19,4,VELO-CITY / Wilhelm-Leuschner-Platz,51.336155,12.37502
20,2,Christianstraße,51.347388,12.353402
21,0,Richard-Wagner-Platz,51.34326,12.372462
22,126,VELO-CITY / Augustusplatz,51.339064,12.380031
23,0,Friedrich-List-PLatz,51.345217,12.392192
24,3,VELO-CITY / Oststraße,51.331718,12.405657
25,0,Völkerschlachtdenkmal,51.31451,12.410012
26,5,VELO-CITY / Karl-Liebknecht-Straße,51.32203,12.373781
27,0,Peterskirche,51.330471,12.374876
28,4,Straße des 18. Okotber,51.326107,12.388651
29,0,Connewitzer Kreuz,51.310369,12.372912
30,0,Coppiplatz,51.367775,12.366829
31,5,Hermann-Liebmann-Straße,51.345548,12.406418
32,2,Torgauer Platz,51.345461,12.414701
33,0,Papiermühlstraße,51.324316,12.412888
34,0,Zoo,51.348581,12.371871
35,3,Nordplatz,51.352531,12.373492
36,1,Georg-Schumann-Straße,51.363116,12.362178
37,1,Löbauer Straße ,51.356407,12.415967
38,2,Geißlerstraße,51.344905,12.419175
39,0,VELO-CITY / Rödelstraße,51.318674,12.34101
40,3,VELO-CITY / Könneritzstraße,51.324065,12.344003
41,2,Wielandstraße,51.341189,12.324257
42,0,VELO-CITY / Angerbrücke ,51.337814,12.340361
43,1,VELO-CITY / Herzliyaplatz,51.332164,12.362441
44,3,Zschochersche Straße,51.329475,12.336901
45,1,VELO-CITY / Karl-Heine-Straße,51.33147,12.333789
46,5,VELO-CITY / Felsenkeller,51.332465,12.338639
47,1,VELO-CITY / Lindenauer Markt,51.337362,12.334068
48,2,VELO-CITY / Gottschedstraße,51.340512,12.368841
49,0,VELO-CITY / Westplatz,51.338729,12.362505
50,0,VELO-CITY / Markt,51.340884,12.375187
51,11,Altenburger Straße,51.320511,12.383013
52,6,Bahnhof Gohlis,51.362982,12.373561
53,1,Kohlgartenstraße ,51.33892,12.402824
54,2,Täubchenweg,51.335619,12.407663
55,0,Böhlitz-Ehrenberg,51.359442,12.292821
56,3,Spinnereistraße,51.32793,12.319933
57,2,Saarländerstraße,51.325815,12.314928
58,6,Bornaische Straße,51.295085,12.386184
59,0,An der Märchenwiese,51.30605,12.396687
60,4,TINK - Ostplatz,51.332308,12.395432
61,2,Goldschmidtstraße,51.335029,12.388759
62,3,Einertstraße,51.346001,12.398635
63,1,Schulze-Delitzsch-Straße,51.348168,12.405973
64,4,Pistorisstraße,51.31401,12.342668
65,1,VELO-CITY / Holbeinstraße,51.327799,12.345666
66,1,Rathaus Leutzsch,51.347374,12.314665
67,1,TINK - Bayrischer Platz,51.33048,12.3797
68,1,TINK - Südplatz,51.32466,12.3733
69,1,TINK - Connewitzer Kreuz,51.31168,12.37235
70,1,TINK - Kunsttanker,51.36638,12.36625
71,4,TINK - BIC Leipzig,51.32904,12.32808
72,0,KinoDatsche,51.323876,12.321425
73,2,Moritzhof (LVB Mobilitätsstation 51),51.300885,12.396634
74,1,TINK - Weißeplatz,51.32198,12.419
75,14,VELO-CITY / Hauptbahnhof/Ostseite,51.343973,12.383384
76,1,Ranstädter Steinweg NETTO,51.343662,12.36633
77,0,E.-Zeigner-Allee/nextbike HQ,51.324809,12.336997
78,20,VELO-CITY / Markt Nord,51.340877,12.375197
79,0,VELO-CITY / Hallisches Tor 1,51.344107,12.377198
80,1,VELO-CITY / Hallisches Tor 2,51.34399,12.376694
81,3,VELO-CITY / SchwanenTeich,51.342844,12.381012
82,2,VELO-CITY / Karli BurgerK,51.328369,12.373647
83,0,VELO-CITY / Bayrischer Bhf,51.33033,12.380921
84,0,VELO-CITY / BurgPlatz,51.33702,12.37317
85,0,VELO-CITY / ThomasKirche,51.339631,12.373137
86,0,VELO-CITY / GoerdelerRing,51.343923,12.370262
87,4,Velocity Messe Leipzig,51.397428,12.398913
