,name,rating,distance
0,Bagel Brothers,8.0,98
1,Imperii,8.4,170
2,Goldene Kugel,6.2,111
3,Planerts,7.4,210
4,Yasumi,7.3,216
5,Andria Ristorante,7.1,211
6,Niiko Sushi x Vegan,-1,132
7,KFC,6.3,179
8,Subway,6.4,205
9,Frittenwerk,-1,167
10,"Pizza Hut Leipzig, HBF",5.7,175
11,Asiahung,6.3,215
12,Romanushof,6.8,256
13,Burger King,5.3,170
14,ROCKET’S Burger,-1,183
15,Peter Pane,7.1,287
16,Sole Mio,-1,185
17,Masala - Indian Food,6.0,209
18,Pho Viet,7.1,285
19,McDonald's,6.8,271
20,Indian Crown,7.1,290
21,KFC,5.2,185
22,Haiky,6.7,266
23,Burgermeister der Grill,5.8,214
24,Frittz,-1,203
25,frischBack,-1,210
26,McDonald's,5.5,209
27,Indian Palace,6.3,262
28,Rusty‘S,-1,222
29,Ciao Bella,-1,225
30,Toskana Leipzig,-1,228
31,Endless,-1,229
32,Vietnam Bistro,-1,230
33,Mumbai,5.8,247
34,Sushi Circle,6.9,324
35,Campus Suite,-1,235
36,Indian Curry House,-1,240
37,Tischlein Deck Dich,-1,248
38,Gourmet-Restaurant FALCO,7.1,365
39,ALEX Leipzig,7.5,391
40,Long Food,-1,258
41,Micello's,-1,258
42,Valentino,7.5,410
43,Sardinia,7.1,386
44,Side Döner,-1,274
45,India Gate,5.7,284
46,Curry & Co,7.3,410
47,Dean & David,7.1,405
48,Falafel Ali,-1,289
49,Stein Café,6.7,389
50,Goldene Höhe,-1,197
51,Family-Restaurant Neumann (Familiengaststätte Neumann),-1,491
52,Frittenwerk,-1,65
53,ROCKET’S Burger,-1,71
54,Asiahung,6.3,107
55,Bagel Brothers,8.0,215
56,KFC,5.2,71
57,Frittz,-1,89
58,Masala - Indian Food,6.0,110
59,McDonald's,5.5,91
60,frischBack,-1,100
61,"Pizza Hut Leipzig, HBF",5.7,107
62,Imperii,8.4,262
63,Burger King,5.3,102
64,Ciao Bella,-1,123
65,Goldene Kugel,6.2,193
66,Campus Suite,-1,161
67,Planerts,7.4,306
68,Yasumi,7.3,307
69,Falafel Ali,-1,200
70,Andria Ristorante,7.1,324
71,Gourmet-Restaurant FALCO,7.1,330
72,Subway,6.4,298
73,Niiko Sushi x Vegan,-1,248
74,McDonald's,6.8,358
75,Romanushof,6.8,360
76,Peter Pane,7.1,391
77,Haiky,6.7,352
78,Sole Mio,-1,278
79,Pho Viet,7.1,392
80,Burgermeister der Grill,5.8,304
81,Indian Crown,7.1,408
82,Rusty‘S,-1,309
83,VICTOR’S Restaurant,-1,310
